model_name,provider,release_date,model_version,model_type,open_source,license_type,parameters_b,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,hellaswag_score,memory_footprint_gb,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes
OpenOrca-70B-rlhf,allenai,2023-09-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-07-09,No,"en,multilingual",No,86.7,85.7,89.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
Minotaur-70B-rlhf,HuggingFaceH4,2023-09-14,v1.0,LLM,Yes,varies,70.0,8.0,2023-07-14,No,"en,multilingual",No,86.1,84.8,88.7,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; rlhf method. Flagged community_finetune.
GPT4All-70B-dare,TIGER-Lab,2023-09-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-07-19,No,"en,multilingual",No,85.2,81.9,89.1,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dare method. Flagged community_finetune.
CodeAlpaca-70B-sft,Open-Orca,2023-09-24,v1.0,LLM,Yes,varies,70.0,8.0,2023-07-24,No,"en,multilingual",No,84.3,81.9,88.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
OpenHermes-70B-sft,garage-bAInd,2023-09-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-07-28,No,"en,multilingual",No,88.0,83.8,88.8,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; sft method. Flagged community_finetune.
Samantha-7B-passthrough,FPHam,2023-09-28,v1.0,LLM,Yes,varies,7.0,128.0,2023-07-28,No,"en,multilingual",No,78.2,84.6,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; passthrough method. Flagged community_finetune.
Hydra-70B-rlhf,cognitivecomputations,2023-10-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-08-19,No,"en,multilingual",No,85.3,83.2,89.6,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; rlhf method. Flagged community_finetune.
OpenOrca-70B-passthrough,TheBloke,2023-10-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-08-19,No,"en,multilingual",No,86.5,83.1,88.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
Solstice-70B-passthrough,bartowski,2023-10-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-08-19,No,"en,multilingual",No,82.6,86.9,88.5,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
Apex-70B-franken,WizardLM,2023-10-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-08-24,No,"en,multilingual",No,89.3,83.2,88.9,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; franken method. Flagged community_finetune.
Lazarus-70B-ties,bartowski,2023-10-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-08-24,No,"en,multilingual",No,88.6,83.7,88.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Vertex-70B-lora,togethercomputer,2023-11-04,v1.0,LLM,Yes,varies,70.0,8.0,2023-09-04,No,"en,multilingual",No,85.2,82.6,89.7,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; lora method. Flagged community_finetune.
Solstice-70B-ties,Gryphe,2023-11-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-09-04,No,"en,multilingual",No,89.1,85.0,88.4,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Alpagasus-7B-slerp,jondurbin,2023-11-14,v1.0,LLM,Yes,varies,7.0,128.0,2023-09-14,No,"en,multilingual",No,78.7,87.0,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; slerp method. Flagged community_finetune.
Abel-70B-ties,NousResearch,2023-12-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,91.0,84.9,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Lazarus-70B-franken,togethercomputer,2023-12-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.2,80.3,89.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; franken method. Flagged community_finetune.
Minotaur-70B-sft,bartowski,2024-01-28,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.8,85.7,88.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
CodeAlpaca-70B-franken,TIGER-Lab,2024-02-04,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,85.5,85.1,88.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; franken method. Flagged community_finetune.
ReMM-70B-passthrough,mlabonne,2024-02-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.8,81.6,88.7,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; passthrough method. Flagged community_finetune.
Zenith-70B-slerp,allenai,2024-02-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,88.3,82.5,89.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; slerp method. Flagged community_finetune.
Baize-70B-sft,allenai,2024-02-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.5,83.4,88.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
Xwin-70B-dare,NousResearch,2024-03-04,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,84.6,81.8,88.7,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dare method. Flagged community_finetune.
GPT4All-70B-linear,bartowski,2024-03-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,90.0,82.0,89.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
OpenOrca-70B-ties,togethercomputer,2024-03-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,88.1,80.4,89.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Nexus-70B-ties,defog,2024-03-24,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.5,85.1,89.1,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Lazarus-70B-slerp,defog,2024-03-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.1,81.2,88.8,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; slerp method. Flagged community_finetune.
Speechless-70B-sft,garage-bAInd,2024-03-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.4,81.3,89.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; sft method. Flagged community_finetune.
Hermes-70B-sft,jondurbin,2024-04-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.9,83.3,90.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; sft method. Flagged community_finetune.
Morpheus-70B-slerp,jondurbin,2024-04-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.9,82.5,87.4,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; slerp method. Flagged community_finetune.
Lazarus-70B-dpo,Open-Orca,2024-04-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,86.0,85.1,88.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dpo method. Flagged community_finetune.
Vortex-70B-dare,allenai,2024-04-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.5,85.2,88.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dare method. Flagged community_finetune.
SciTulu-70B-dpo,teknium,2024-05-04,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.1,85.2,87.9,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dpo method. Flagged community_finetune.
Catalyst-70B-linear,Gryphe,2024-05-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.1,85.3,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
Notus-70B-ties,TheBloke,2024-05-14,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.2,85.1,87.6,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Titan-FT-70B-rlhf,garage-bAInd,2024-05-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,90.1,82.8,90.2,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
Lazarus-70B-rlhf,meta-math,2024-05-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.9,84.4,88.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
WizardMath-70B-linear,mistralai-community,2024-06-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,86.0,82.7,90.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
EvolInstruct-70B-sft,cognitivecomputations,2024-06-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,85.9,85.2,89.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; sft method. Flagged community_finetune.
Linhope-8B-lora,mlabonne,2024-06-09,v1.0,LLM,Yes,varies,8.0,128.0,2023-12,No,"en,multilingual",No,76.0,73.0,83.7,5.0,No,Yes,LLaMA 3.1 8B,Small,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 8B; lora method. Flagged community_finetune.
Notus-70B-passthrough,jondurbin,2024-06-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.9,79.9,88.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; passthrough method. Flagged community_finetune.
GPT4All-70B-passthrough,teknium,2024-06-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.8,84.7,89.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
Airoboros-70B-slerp,Gryphe,2024-06-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,88.9,82.0,87.9,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; slerp method. Flagged community_finetune.
Koala-70B-rlhf,TheBloke,2024-06-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,88.0,83.1,89.7,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
Manticore-70B-lora,WizardLM,2024-07-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.6,82.5,88.2,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; lora method. Flagged community_finetune.
Guanaco-70B-rlhf,togethercomputer,2024-07-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.4,84.8,89.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
Nous-70B-dare,garage-bAInd,2024-07-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,90.8,82.2,88.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dare method. Flagged community_finetune.
ReMM-7B-passthrough,Open-Orca,2024-08-09,v1.0,LLM,Yes,varies,7.0,128.0,2023-12,No,"en,multilingual",No,78.5,89.4,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; passthrough method. Flagged community_finetune.
Axiom-70B-rlhf,allenai,2024-08-19,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.6,82.2,88.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
Minotaur-8B-linear,mlabonne,2024-08-19,v1.0,LLM,Yes,varies,8.0,128.0,2023-12,No,"en,multilingual",No,75.5,68.1,83.0,5.0,No,Yes,LLaMA 3.1 8B,Small,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 8B; linear method. Flagged community_finetune.
LongAlpaca-70B-franken,mlabonne,2024-08-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.1,81.5,88.2,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; franken method. Flagged community_finetune.
Aurora-8B-dare,mlabonne,2024-09-14,v1.0,LLM,Yes,varies,8.0,128.0,2023-12,No,"en,multilingual",No,73.7,72.1,82.9,5.0,No,Yes,LLaMA 3.1 8B,Small,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 8B; dare method. Flagged community_finetune.
Hydra-70B-dpo,meta-math,2024-09-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.3,81.9,88.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dpo method. Flagged community_finetune.
Starling-70B-ties,TheBloke,2024-09-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.2,84.0,89.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Cascade-70B-sft,WizardLM,2024-09-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.2,86.3,89.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
Koala-70B-slerp,unsloth,2024-09-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.9,83.9,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; slerp method. Flagged community_finetune.
Nova-FT-70B-linear,WizardLM,2024-09-28,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,84.7,86.3,88.5,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; linear method. Flagged community_finetune.
