model_name,provider,category,release_date,release_year,arena_elo,benchmark,score
GLM-4,Zhipu AI,frontier,2024-01-16,2024,1178.0,mmlu,73.8
GPT-4 Turbo 0125,OpenAI,frontier,2024-01-25,2024,1248.0,mmlu,86.4
Gemini 1.5 Pro,Google,frontier,2024-02-15,2024,1262.0,mmlu,85.8
Mistral Large,Mistral AI,frontier,2024-02-26,2024,1157.0,mmlu,81.2
Claude 3 Haiku,Anthropic,frontier,2024-03-04,2024,1179.0,mmlu,75.2
Claude 3 Opus,Anthropic,frontier,2024-03-04,2024,1249.0,mmlu,86.8
Claude 3 Sonnet,Anthropic,frontier,2024-03-04,2024,1201.0,mmlu,78.8
Command R+,Cohere,frontier,2024-04-04,2024,1195.0,mmlu,75.4
GPT-4o,OpenAI,frontier,2024-05-13,2024,1285.0,mmlu,88.7
Gemini 1.5 Flash,Google,frontier,2024-05-14,2024,1234.0,mmlu,79.3
Claude 3.5 Sonnet,Anthropic,frontier,2024-06-21,2024,1306.0,mmlu,88.7
GPT-4o mini,OpenAI,frontier,2024-07-18,2024,1272.0,mmlu,82.0
Mistral Large 2,Mistral AI,frontier,2024-07-24,2024,1251.0,mmlu,84.0
GPT-4o 2024-08-06,OpenAI,frontier,2024-08-06,2024,1290.0,mmlu,89.1
Grok 2,xAI,frontier,2024-08-13,2024,1268.0,mmlu,87.3
o1 mini,OpenAI,frontier,2024-09-12,2024,1304.0,mmlu,84.6
o1-preview,OpenAI,frontier,2024-09-12,2024,1312.0,mmlu,90.8
Gemini 1.5 Flash 8B,Google,frontier,2024-10-03,2024,,mmlu,72.0
Claude 3.5 Sonnet v2,Anthropic,frontier,2024-10-22,2024,,mmlu,88.7
Claude 3.5 Haiku,Anthropic,frontier,2024-11-04,2024,1262.0,mmlu,78.0
Nova Lite,Amazon,frontier,2024-12-03,2024,1150.0,mmlu,71.7
Nova Pro,Amazon,frontier,2024-12-03,2024,1200.0,mmlu,80.8
o1,OpenAI,frontier,2024-12-05,2024,1320.0,mmlu,91.8
DeepSeek V3,DeepSeek,frontier,2024-12-26,2024,1370.0,mmlu,88.5
Gemini 2.0 Flash,Google,frontier,2025-01-15,2025,1354.0,mmlu,89.4
DeepSeek R1,DeepSeek,frontier,2025-01-20,2025,1380.0,mmlu,90.8
Kimi K1.5,Moonshot AI,frontier,2025-01-22,2025,1320.0,mmlu,88.5
o3 mini,OpenAI,frontier,2025-01-31,2025,1355.0,mmlu,86.9
Gemini 2.0 Flash Lite,Google,frontier,2025-02-01,2025,,mmlu,81.6
Grok 3,xAI,frontier,2025-02-17,2025,1402.0,mmlu,90.7
Claude 3.7 Sonnet,Anthropic,frontier,2025-02-24,2025,1360.0,mmlu,91.9
Gemini 2.5 Flash,Google,frontier,2025-03-25,2025,1390.0,mmlu,89.5
Gemini 2.5 Pro,Google,frontier,2025-03-25,2025,1430.0,mmlu,91.6
LLaMA 4 Scout,Meta,frontier,2025-04-05,2025,1340.0,mmlu,79.8
LLaMA 4 Maverick,Meta,frontier,2025-04-05,2025,1380.0,mmlu,85.6
o3,OpenAI,frontier,2025-04-16,2025,1390.0,mmlu,93.4
o4 mini,OpenAI,frontier,2025-04-16,2025,1400.0,mmlu,89.2
Qwen3 235B MoE,Alibaba,frontier,2025-04-28,2025,1390.0,mmlu,89.7
GPT-5,OpenAI,frontier,2025-05-01,2025,1450.0,mmlu,92.3
Mistral Large 3,Mistral AI,frontier,2025-05-01,2025,1370.0,mmlu,86.9
Claude Haiku 4.5,Anthropic,frontier,2025-07-01,2025,,mmlu,82.1
Claude Opus 4.5,Anthropic,frontier,2025-07-01,2025,,mmlu,91.7
Claude Sonnet 4.5,Anthropic,frontier,2025-07-01,2025,,mmlu,90.1
Grok 4,xAI,frontier,2025-07-01,2025,1491.0,mmlu,94.4
Gemini 3 Flash,Google,frontier,2025-08-01,2025,1445.0,mmlu,90.3
Gemini 3 Pro,Google,frontier,2025-09-01,2025,1480.0,mmlu,92.4
Mercury 2,Inception Labs,frontier,2025-09-01,2025,1280.0,mmlu,89.1
Claude Opus 4.6,Anthropic,frontier,2025-10-01,2025,1503.0,mmlu,91.6
Claude Sonnet 4.6,Anthropic,frontier,2025-10-01,2025,1420.0,mmlu,90.8
GPT-5.1,OpenAI,frontier,2025-11-13,2025,1460.0,mmlu,92.7
Kimi K2.6,Moonshot AI,frontier,2025-12-01,2025,1350.0,mmlu,89.7
Claude Opus 4.7,Anthropic,frontier,2026-02-01,2026,,mmlu,92.4
GPT-5.4,OpenAI,frontier,2026-02-01,2026,1484.0,mmlu,94.2
Gemini 3.1 Pro,Google,frontier,2026-03-01,2026,1500.0,mmlu,93.1
T5 Base,Google,research,2020-02-24,2020,,mmlu,29.6
T5 Large,Google,research,2020-02-24,2020,,mmlu,35.2
T5 Small,Google,research,2020-02-24,2020,,mmlu,24.7
T5 XL,Google,research,2020-02-24,2020,,mmlu,39.9
T5 XXL,Google,research,2020-02-24,2020,,mmlu,48.3
GPT-J 6B,EleutherAI,research,2021-06-04,2021,,mmlu,36.7
Gopher 280B,DeepMind,research,2021-12-08,2021,,mmlu,60.2
Chinchilla 70B,DeepMind,research,2022-03-29,2022,,mmlu,67.6
GPT-NeoX 20B,EleutherAI,research,2022-04-14,2022,,mmlu,33.7
OPT 66B,Meta AI,research,2022-05-02,2022,,mmlu,48.4
OPT 30B,Meta AI,research,2022-05-02,2022,,mmlu,44.8
OPT 6.7B,Meta AI,research,2022-05-02,2022,,mmlu,37.7
OPT 1.3B,Meta AI,research,2022-05-02,2022,,mmlu,24.6
OPT 13B,Meta AI,research,2022-05-02,2022,,mmlu,41.8
BLOOM 176B,BigScience,research,2022-07-06,2022,,mmlu,26.1
BLOOM 1B7,BigScience,research,2022-07-06,2022,,mmlu,24.1
BLOOM 3B,BigScience,research,2022-07-06,2022,,mmlu,26.7
BLOOM 560M,BigScience,research,2022-07-06,2022,,mmlu,20.9
BLOOM 7B1,BigScience,research,2022-07-06,2022,,mmlu,30.7
GLM-130B,Tsinghua/Zhipu,research,2022-10-05,2022,,mmlu,44.9
FLAN-T5 XL,Google,research,2022-10-20,2022,,mmlu,51.7
FLAN-T5 Base,Google,research,2022-10-20,2022,,mmlu,42.7
FLAN-T5 Large,Google,research,2022-10-20,2022,,mmlu,49.2
FLAN-T5 Small,Google,research,2022-10-20,2022,,mmlu,38.2
FLAN-T5 XXL,Google,research,2022-10-20,2022,,mmlu,54.9
BLOOMZ 176B,BigScience,research,2022-11-03,2022,,mmlu,34.1
LLaMA 1 13B,Meta,research,2023-02-24,2023,,mmlu,46.9
LLaMA 1 30B,Meta,research,2023-02-24,2023,,mmlu,58.2
LLaMA 1 65B,Meta,research,2023-02-24,2023,,mmlu,63.7
LLaMA 1 7B,Meta,research,2023-02-24,2023,,mmlu,35.3
FLAN-UL2,Google,research,2023-03-10,2023,,mmlu,55.9
BloombergGPT,Bloomberg,research,2023-03-30,2023,,mmlu,54.1
Pythia 12B,EleutherAI,research,2023-04-03,2023,,mmlu,35.9
Pythia 1B,EleutherAI,research,2023-04-03,2023,,mmlu,30.3
Pythia 2.8B,EleutherAI,research,2023-04-03,2023,,mmlu,32.7
Pythia 6.9B,EleutherAI,research,2023-04-03,2023,,mmlu,35.9
Dolly 12B,Databricks,research,2023-04-12,2023,,mmlu,38.3
StableLM Alpha 7B,Stability AI,research,2023-04-19,2023,,mmlu,30.3
StableLM Alpha 3B,Stability AI,research,2023-04-19,2023,,mmlu,24.2
MPT 7B,MosaicML,research,2023-05-05,2023,,mmlu,27.3
RedPajama 3B,Together AI,research,2023-05-05,2023,,mmlu,26.7
RedPajama 7B,Together AI,research,2023-05-05,2023,,mmlu,36.0
Falcon 40B,TII,research,2023-05-22,2023,,mmlu,55.2
WizardLM 13B,WizardLM,research,2023-05-26,2023,,mmlu,48.3
MPT 30B,MosaicML,research,2023-06-22,2023,,mmlu,46.6
LLaMA 2 7B Chat,Meta,research,2023-07-18,2023,,mmlu,47.9
LLaMA 2 13B,Meta,research,2023-07-18,2023,,mmlu,55.0
LLaMA 2 13B Chat,Meta,research,2023-07-18,2023,,mmlu,55.8
LLaMA 2 70B,Meta,research,2023-07-18,2023,,mmlu,69.6
LLaMA 2 70B Chat,Meta,research,2023-07-18,2023,,mmlu,69.7
LLaMA 2 7B,Meta,research,2023-07-18,2023,,mmlu,45.6
Falcon 180B,TII,research,2023-09-06,2023,,mmlu,71.0
Mistral 7B,Mistral AI,research,2023-09-27,2023,,mmlu,60.3
OpenChat 3.5,OpenChat,research,2023-10-12,2023,,mmlu,64.6
Yi 34B,01.AI,research,2023-11-05,2023,,mmlu,76.3
Zephyr 7B Beta,HuggingFace H4,research,2023-11-08,2023,,mmlu,61.6
OpenHermes 2.5,NousResearch,research,2023-11-10,2023,,mmlu,69.1
Orca 2 13B,Microsoft Research,research,2023-11-18,2023,,mmlu,63.0
Meditron 70B,EPFL,research,2023-11-27,2023,,mmlu,66.4
Mistral 7B Instruct v0.2,Mistral AI,research,2023-12-11,2023,,mmlu,61.3
Mixtral 8x7B,Mistral AI,research,2023-12-11,2023,,mmlu,70.7
Mixtral 8x7B Instruct,Mistral AI,research,2023-12-11,2023,,mmlu,71.3
Phi-2,Microsoft,research,2023-12-12,2023,,mmlu,57.5
InternLM2 20B,Shanghai AI Lab,research,2024-01-17,2024,,mmlu,72.1
Grok 1,xAI,research,2024-03-17,2024,,mmlu,73.0
Mixtral 8x22B,Mistral AI,research,2024-04-10,2024,,mmlu,78.0
LLaMA 3 70B,Meta,research,2024-04-18,2024,,mmlu,82.0
LLaMA 3 70B Instruct,Meta,research,2024-04-18,2024,,mmlu,82.3
LLaMA 3 8B,Meta,research,2024-04-18,2024,,mmlu,68.6
LLaMA 3 8B Instruct,Meta,research,2024-04-18,2024,,mmlu,69.2
Phi-3 Mini 128K,Microsoft,research,2024-04-23,2024,,mmlu,68.5
DeepSeek V2,DeepSeek,research,2024-05-06,2024,,mmlu,78.7
Yi 1.5 34B,01.AI,research,2024-05-13,2024,,mmlu,76.7
Falcon 2 11B,TII,research,2024-05-14,2024,,mmlu,62.0
Phi-3 Medium 4K,Microsoft,research,2024-05-21,2024,,mmlu,77.6
Qwen 2 72B Instruct,Alibaba,research,2024-06-07,2024,,mmlu,84.8
Nemotron 4 340B,NVIDIA,research,2024-06-14,2024,,mmlu,79.1
Gemma 2 27B,Google,research,2024-06-27,2024,,mmlu,75.5
Gemma 2 9B,Google,research,2024-06-27,2024,,mmlu,71.1
Mistral Nemo,Mistral AI,research,2024-07-18,2024,,mmlu,68.4
LLaMA 3.1 405B,Meta,research,2024-07-23,2024,,mmlu,88.6
LLaMA 3.1 70B,Meta,research,2024-07-23,2024,,mmlu,85.7
LLaMA 3.1 70B Instruct,Meta,research,2024-07-23,2024,,mmlu,86.2
LLaMA 3.1 8B,Meta,research,2024-07-23,2024,,mmlu,73.3
LLaMA 3.1 8B Instruct,Meta,research,2024-07-23,2024,,mmlu,73.2
Qwen 2.5 72B,Alibaba,research,2024-09-19,2024,,mmlu,86.0
Qwen 2.5 7B,Alibaba,research,2024-09-19,2024,,mmlu,74.0
LLaMA 3.2 90B Vision,Meta,research,2024-09-25,2024,,mmlu,85.8
LLaMA 3.2 3B,Meta,research,2024-09-25,2024,,mmlu,57.7
LLaMA 3.2 11B Vision,Meta,research,2024-09-25,2024,,mmlu,72.9
LLaMA 3.2 1B,Meta,research,2024-09-25,2024,,mmlu,31.9
OLMo 2 7B,AllenAI,research,2024-11-21,2024,,mmlu,63.8
Command R7B,Cohere,research,2024-12-05,2024,,mmlu,68.5
LLaMA 3.3 70B Instruct,Meta,research,2024-12-06,2024,,mmlu,86.2
Phi-4,Microsoft,research,2024-12-12,2024,,mmlu,84.8
DeepSeek R1 Distill Llama 70B,DeepSeek,research,2025-01-20,2025,,mmlu,79.5
DeepSeek R1 Distill Qwen 14B,DeepSeek,research,2025-01-20,2025,,mmlu,69.5
DeepSeek R1 Distill Qwen 32B,DeepSeek,research,2025-01-20,2025,,mmlu,72.8
DeepSeek R1 Distill Qwen 7B,DeepSeek,research,2025-01-20,2025,,mmlu,55.8
Gemma 3 27B,Google,research,2025-03-12,2025,,mmlu,79.1
Phi-4 Reasoning,Microsoft,research,2025-04-01,2025,,mmlu,85.7
Qwen3 32B,Alibaba,research,2025-04-28,2025,,mmlu,83.9
Nous-70B-ties,meta-math,community,2023-01-04,2023,,mmlu,87.7
Medusa-70B-dpo,mistralai-community,community,2023-01-24,2023,,mmlu,84.4
Tulu-70B-franken,NousResearch,community,2023-01-28,2023,,mmlu,86.8
Airoboros-70B-dare,NousResearch,community,2023-02-04,2023,,mmlu,83.1
InfinityInstruct-70B-franken,mistralai-community,community,2023-02-04,2023,,mmlu,87.0
WizardMath-70B-ties,FPHam,community,2023-02-09,2023,,mmlu,86.2
Meridian-70B-lora,HuggingFaceH4,community,2023-03-14,2023,,mmlu,86.3
Hermes-70B-ties,mistralai-community,community,2023-03-19,2023,,mmlu,82.9
Nous-70B-slerp,meta-math,community,2023-03-24,2023,,mmlu,86.7
Axiom-70B-linear,cognitivecomputations,community,2023-05-04,2023,,mmlu,89.2
Speechless-70B-passthrough,meta-math,community,2023-05-09,2023,,mmlu,84.6
Vertex-70B-ties,unsloth,community,2023-05-14,2023,,mmlu,88.5
Capybara-70B-passthrough,unsloth,community,2023-05-19,2023,,mmlu,85.3
Guanaco-70B-ties,defog,community,2023-06-09,2023,,mmlu,86.5
SuperHOT-70B-passthrough,garage-bAInd,community,2023-06-09,2023,,mmlu,84.2
EvolInstruct-7B-dare,FPHam,community,2023-06-14,2023,,mmlu,78.4
Linhope-70B-dare,WizardLM,community,2023-07-09,2023,,mmlu,86.2
Hermes-70B-linear,NousResearch,community,2023-07-19,2023,,mmlu,89.6
Baize-70B-franken,defog,community,2023-07-24,2023,,mmlu,84.1
Meridian-70B-franken,Gryphe,community,2023-08-09,2023,,mmlu,89.0
OpenHermes-70B-ties,HuggingFaceH4,community,2023-08-09,2023,,mmlu,89.5
Synthia-70B-rlhf,unsloth,community,2023-08-09,2023,,mmlu,87.9
SciTulu-70B-dare,teknium,community,2023-08-14,2023,,mmlu,89.7
Vicuna-FT-70B-dpo,defog,community,2023-08-28,2023,,mmlu,90.0
Hermes-7B-dare,jondurbin,community,2023-09-04,2023,,mmlu,77.1
OpenOrca-70B-rlhf,allenai,community,2023-09-09,2023,,mmlu,86.7
Minotaur-70B-rlhf,HuggingFaceH4,community,2023-09-14,2023,,mmlu,86.1
GPT4All-70B-dare,TIGER-Lab,community,2023-09-19,2023,,mmlu,85.2
CodeAlpaca-70B-sft,Open-Orca,community,2023-09-24,2023,,mmlu,84.3
OpenHermes-70B-sft,garage-bAInd,community,2023-09-28,2023,,mmlu,88.0
Samantha-7B-passthrough,FPHam,community,2023-09-28,2023,,mmlu,78.2
Hydra-70B-rlhf,cognitivecomputations,community,2023-10-19,2023,,mmlu,85.3
OpenOrca-70B-passthrough,TheBloke,community,2023-10-19,2023,,mmlu,86.5
Solstice-70B-passthrough,bartowski,community,2023-10-19,2023,,mmlu,82.6
Apex-70B-franken,WizardLM,community,2023-10-24,2023,,mmlu,89.3
Lazarus-70B-ties,bartowski,community,2023-10-24,2023,,mmlu,88.6
Vertex-70B-lora,togethercomputer,community,2023-11-04,2023,,mmlu,85.2
Solstice-70B-ties,Gryphe,community,2023-11-04,2023,,mmlu,89.1
Alpagasus-7B-slerp,jondurbin,community,2023-11-14,2023,,mmlu,78.7
Abel-70B-ties,NousResearch,community,2023-12-14,2023,,mmlu,91.0
Lazarus-70B-franken,togethercomputer,community,2023-12-24,2023,,mmlu,87.2
Minotaur-70B-sft,bartowski,community,2024-01-28,2024,,mmlu,82.8
CodeAlpaca-70B-franken,TIGER-Lab,community,2024-02-04,2024,,mmlu,85.5
ReMM-70B-passthrough,mlabonne,community,2024-02-04,2024,,mmlu,87.8
Zenith-70B-slerp,allenai,community,2024-02-04,2024,,mmlu,88.3
Baize-70B-sft,allenai,community,2024-02-09,2024,,mmlu,86.5
Xwin-70B-dare,NousResearch,community,2024-03-04,2024,,mmlu,84.6
GPT4All-70B-linear,bartowski,community,2024-03-09,2024,,mmlu,90.0
OpenOrca-70B-ties,togethercomputer,community,2024-03-14,2024,,mmlu,88.1
Nexus-70B-ties,defog,community,2024-03-24,2024,,mmlu,82.5
Lazarus-70B-slerp,defog,community,2024-03-28,2024,,mmlu,89.1
Speechless-70B-sft,garage-bAInd,community,2024-03-28,2024,,mmlu,89.4
Hermes-70B-sft,jondurbin,community,2024-04-09,2024,,mmlu,87.9
Morpheus-70B-slerp,jondurbin,community,2024-04-09,2024,,mmlu,82.9
Lazarus-70B-dpo,Open-Orca,community,2024-04-14,2024,,mmlu,86.0
Vortex-70B-dare,allenai,community,2024-04-19,2024,,mmlu,86.5
SciTulu-70B-dpo,teknium,community,2024-05-04,2024,,mmlu,86.1
Catalyst-70B-linear,Gryphe,community,2024-05-14,2024,,mmlu,87.1
Notus-70B-ties,TheBloke,community,2024-05-14,2024,,mmlu,86.2
Titan-FT-70B-rlhf,garage-bAInd,community,2024-05-24,2024,,mmlu,90.1
Lazarus-70B-rlhf,meta-math,community,2024-05-28,2024,,mmlu,89.9
WizardMath-70B-linear,mistralai-community,community,2024-06-04,2024,,mmlu,86.0
EvolInstruct-70B-sft,cognitivecomputations,community,2024-06-04,2024,,mmlu,85.9
Linhope-8B-lora,mlabonne,community,2024-06-09,2024,,mmlu,76.0
Notus-70B-passthrough,jondurbin,community,2024-06-14,2024,,mmlu,87.9
GPT4All-70B-passthrough,teknium,community,2024-06-19,2024,,mmlu,82.8
Airoboros-70B-slerp,Gryphe,community,2024-06-24,2024,,mmlu,88.9
Koala-70B-rlhf,TheBloke,community,2024-06-24,2024,,mmlu,88.0
Manticore-70B-lora,WizardLM,community,2024-07-04,2024,,mmlu,89.6
Guanaco-70B-rlhf,togethercomputer,community,2024-07-14,2024,,mmlu,89.4
Nous-70B-dare,garage-bAInd,community,2024-07-28,2024,,mmlu,90.8
ReMM-7B-passthrough,Open-Orca,community,2024-08-09,2024,,mmlu,78.5
Axiom-70B-rlhf,allenai,community,2024-08-19,2024,,mmlu,87.6
Minotaur-8B-linear,mlabonne,community,2024-08-19,2024,,mmlu,75.5
LongAlpaca-70B-franken,mlabonne,community,2024-08-28,2024,,mmlu,87.1
Aurora-8B-dare,mlabonne,community,2024-09-14,2024,,mmlu,73.7
Hydra-70B-dpo,meta-math,community,2024-09-14,2024,,mmlu,87.3
Starling-70B-ties,TheBloke,community,2024-09-14,2024,,mmlu,87.2
Cascade-70B-sft,WizardLM,community,2024-09-19,2024,,mmlu,82.2
Koala-70B-slerp,unsloth,community,2024-09-28,2024,,mmlu,87.9
Nova-FT-70B-linear,WizardLM,community,2024-09-28,2024,,mmlu,84.7
Abel-70B-dare,Open-Orca,community,2024-10-14,2024,,mmlu,86.3
Pegasus-70B-ties,TIGER-Lab,community,2024-10-19,2024,,mmlu,82.8
Pulse-70B-linear,Gryphe,community,2024-10-19,2024,,mmlu,83.2
InfinityInstruct-70B-ties,bartowski,community,2024-10-28,2024,,mmlu,86.2
Morpheus-70B-sft,HuggingFaceH4,community,2024-11-04,2024,,mmlu,86.8
Chimera-70B-lora,unsloth,community,2024-11-09,2024,,mmlu,87.7
WizardMath-70B-dpo,teknium,community,2024-11-14,2024,,mmlu,89.5
Nereid-70B-dare,Open-Orca,community,2024-11-14,2024,,mmlu,86.2
Sphinx-70B-linear,FPHam,community,2024-11-24,2024,,mmlu,85.6
Koala-70B-lora,cognitivecomputations,community,2024-11-28,2024,,mmlu,85.4
Minotaur-70B-linear,togethercomputer,community,2024-12-04,2024,,mmlu,88.5
MetaMath-70B-linear,TIGER-Lab,community,2024-12-09,2024,,mmlu,83.2
Platypus-70B-passthrough,teknium,community,2024-12-09,2024,,mmlu,89.2
Titan-FT-7B-sft,FPHam,community,2024-12-09,2024,,mmlu,75.7
EvolInstruct-70B-linear,TIGER-Lab,community,2024-12-14,2024,,mmlu,82.7
Nereid-70B-ties,cognitivecomputations,community,2024-12-14,2024,,mmlu,89.4
Nous-70B-dpo,mistralai-community,community,2024-12-19,2024,,mmlu,85.5
Nexus-70B-lora,HuggingFaceH4,community,2024-12-24,2024,,mmlu,87.6
NeuralHermes-70B-sft,TheBloke,community,2024-12-28,2024,,mmlu,86.8
GPT-3 Ada,OpenAI,frontier,2020-06-11,2020,,humaneval,1.8
GPT-3 Babbage,OpenAI,frontier,2020-06-11,2020,,humaneval,4.0
GPT-3 Curie,OpenAI,frontier,2020-06-11,2020,,humaneval,6.9
GPT-3 Davinci,OpenAI,frontier,2020-06-11,2020,,humaneval,11.8
Codex 12B,OpenAI,frontier,2021-08-10,2021,,humaneval,29.1
InstructGPT text-davinci-001,OpenAI,frontier,2022-01-27,2022,,humaneval,17.8
InstructGPT text-davinci-002,OpenAI,frontier,2022-03-15,2022,,humaneval,21.9
PaLM 62B,Google,frontier,2022-04-04,2022,,humaneval,15.9
PaLM 8B,Google,frontier,2022-04-04,2022,,humaneval,3.6
PaLM 540B,Google,frontier,2022-04-04,2022,,humaneval,26.2
InstructGPT text-davinci-003,OpenAI,frontier,2022-11-28,2022,,humaneval,36.4
GPT-3.5 Turbo,OpenAI,frontier,2022-11-30,2022,1106.0,humaneval,48.1
Claude 1,Anthropic,frontier,2023-03-14,2023,1100.0,humaneval,56.3
GPT-4,OpenAI,frontier,2023-03-14,2023,1163.0,humaneval,67.0
GPT-3.5 Turbo 16k,OpenAI,frontier,2023-06-13,2023,1108.0,humaneval,48.8
GPT-4 0613,OpenAI,frontier,2023-06-13,2023,1152.0,humaneval,67.4
Claude 1.3,Anthropic,frontier,2023-07-10,2023,1105.0,humaneval,58.6
Claude 2,Anthropic,frontier,2023-07-11,2023,1115.0,humaneval,71.4
GPT-4 Turbo 1106,OpenAI,frontier,2023-11-06,2023,1243.0,humaneval,81.6
Claude 2.1,Anthropic,frontier,2023-11-21,2023,1119.0,humaneval,70.4
Gemini 1.0 Ultra,Google,frontier,2023-12-06,2023,,humaneval,74.5
GLM-4,Zhipu AI,frontier,2024-01-16,2024,1178.0,humaneval,71.8
GPT-4 Turbo 0125,OpenAI,frontier,2024-01-25,2024,1248.0,humaneval,82.6
Gemini 1.5 Pro,Google,frontier,2024-02-15,2024,1262.0,humaneval,71.8
Mistral Large,Mistral AI,frontier,2024-02-26,2024,1157.0,humaneval,44.9
Claude 3 Haiku,Anthropic,frontier,2024-03-04,2024,1179.0,humaneval,76.3
Claude 3 Opus,Anthropic,frontier,2024-03-04,2024,1249.0,humaneval,84.9
Claude 3 Sonnet,Anthropic,frontier,2024-03-04,2024,1201.0,humaneval,73.4
Command R+,Cohere,frontier,2024-04-04,2024,1195.0,humaneval,67.4
GPT-4o,OpenAI,frontier,2024-05-13,2024,1285.0,humaneval,90.2
Gemini 1.5 Flash,Google,frontier,2024-05-14,2024,1234.0,humaneval,71.8
Claude 3.5 Sonnet,Anthropic,frontier,2024-06-21,2024,1306.0,humaneval,92.0
GPT-4o mini,OpenAI,frontier,2024-07-18,2024,1272.0,humaneval,87.2
Mistral Large 2,Mistral AI,frontier,2024-07-24,2024,1251.0,humaneval,92.1
GPT-4o 2024-08-06,OpenAI,frontier,2024-08-06,2024,1290.0,humaneval,90.9
Grok 2,xAI,frontier,2024-08-13,2024,1268.0,humaneval,88.1
o1 mini,OpenAI,frontier,2024-09-12,2024,1304.0,humaneval,89.8
o1-preview,OpenAI,frontier,2024-09-12,2024,1312.0,humaneval,92.3
Gemini 1.5 Flash 8B,Google,frontier,2024-10-03,2024,,humaneval,63.8
Claude 3.5 Sonnet v2,Anthropic,frontier,2024-10-22,2024,,humaneval,93.4
Claude 3.5 Haiku,Anthropic,frontier,2024-11-04,2024,1262.0,humaneval,87.8
Nova Lite,Amazon,frontier,2024-12-03,2024,1150.0,humaneval,64.6
Nova Pro,Amazon,frontier,2024-12-03,2024,1200.0,humaneval,75.2
o1,OpenAI,frontier,2024-12-05,2024,1320.0,humaneval,92.3
DeepSeek V3,DeepSeek,frontier,2024-12-26,2024,1370.0,humaneval,91.6
Gemini 2.0 Flash,Google,frontier,2025-01-15,2025,1354.0,humaneval,88.8
DeepSeek R1,DeepSeek,frontier,2025-01-20,2025,1380.0,humaneval,96.3
Kimi K1.5,Moonshot AI,frontier,2025-01-22,2025,1320.0,humaneval,94.2
o3 mini,OpenAI,frontier,2025-01-31,2025,1355.0,humaneval,93.4
Gemini 2.0 Flash Lite,Google,frontier,2025-02-01,2025,,humaneval,82.0
Grok 3,xAI,frontier,2025-02-17,2025,1402.0,humaneval,92.5
Claude 3.7 Sonnet,Anthropic,frontier,2025-02-24,2025,1360.0,humaneval,93.1
Gemini 2.5 Flash,Google,frontier,2025-03-25,2025,1390.0,humaneval,91.8
Gemini 2.5 Pro,Google,frontier,2025-03-25,2025,1430.0,humaneval,90.7
LLaMA 4 Scout,Meta,frontier,2025-04-05,2025,1340.0,humaneval,85.3
LLaMA 4 Maverick,Meta,frontier,2025-04-05,2025,1380.0,humaneval,88.2
o3,OpenAI,frontier,2025-04-16,2025,1390.0,humaneval,96.4
o4 mini,OpenAI,frontier,2025-04-16,2025,1400.0,humaneval,94.2
Qwen3 235B MoE,Alibaba,frontier,2025-04-28,2025,1390.0,humaneval,93.2
GPT-5,OpenAI,frontier,2025-05-01,2025,1450.0,humaneval,95.6
Mistral Large 3,Mistral AI,frontier,2025-05-01,2025,1370.0,humaneval,93.4
Claude Haiku 4.5,Anthropic,frontier,2025-07-01,2025,,humaneval,88.9
Claude Opus 4.5,Anthropic,frontier,2025-07-01,2025,,humaneval,95.4
